exp.name	strain	spore.strain	spore.species	dose	spores	fixing.date	slide	file	worm.number	area	percent.infected	area.infected	timepoint
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	2	66800.55	2.08	1389.45144	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	3	55459.22	18.55	10287.68531	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	4	59611.22	14.01	8351.531922	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	5	59133.86	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	6	51436.66	9.48	4876.195368	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	7	65935.68	0	0	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	8	53499.47	8.46	4526.055162	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	9	55171.48	7.02	3873.037896	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	10	61028.47	0.34	207.496798	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	11	58926.09	9.93	5851.360737	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	12	62638.65	3.03	1897.951095	72hpi
AWR144-LUAm1-1.8	AWR144	LUAm1	N.ferruginous	pulse-72H	1.8	rep1	1	AWR144.LUAm1.rep1	13	64461.54	6.88	4434.953952	72hpi
